Konsum,Feedin,consumlimit_active,feedinlimit_active,limit_consum,limit_feedin,secondmarket_consum,secondmarket_feedin,Zielfunktionswert,Gesammtkostenenergie,Tarif_consum,Tarif_feedin,Konsumgesammt,feedin_gesammt
-0.0,0.0,0,1,20000.0,3000.0,0.0,-3000.0,7.160940430145708,-45.69161854860491,0.29,0.15,524242.9168213074,0.0
-0.0,0.0,0,1,20000.0,3000.0,0.0,-3000.0,7.160940430145708,-45.69161854860491,0.29,0.15,524242.9168213074,0.0
-0.0,0.0,0,1,20000.0,3000.0,0.0,-3000.0,7.160940430145708,-45.69161854860491,0.29,0.15,524242.9168213074,0.0
-0.0,0.0,0,1,20000.0,3000.0,0.0,-3000.0,7.160940430145708,-45.69161854860491,0.29,0.15,524242.9168213074,0.0
-0.0,0.0,0,1,20000.0,3000.0,0.0,-3000.0,7.160940430145708,-45.69161854860491,0.29,0.15,524242.9168213074,0.0
-0.0,0.0,0,1,20000.0,3000.0,0.0,-3000.0,7.160940430145708,-45.69161854860491,0.29,0.15,524242.9168213074,0.0
3449.17733134921,0.0,0,1,20000.0,3000.0,0.0,-3000.0,7.160940430145708,-45.69161854860491,0.29,0.15,524242.9168213074,0.0
3795.07210648148,0.0,0,1,20000.0,3000.0,0.0,-3000.0,7.160940430145708,-45.69161854860491,0.29,0.15,524242.9168213074,0.0
3608.57878637566,0.0,0,1,20000.0,3000.0,0.0,-3000.0,7.160940430145708,-45.69161854860491,0.29,0.15,524242.9168213074,0.0
3858.22118055556,0.0,0,1,20000.0,3000.0,0.0,-3000.0,7.160940430145708,-45.69161854860491,0.29,0.15,524242.9168213074,0.0
-0.0,0.0,0,1,20000.0,3000.0,0.0,-3000.0,7.160940430145708,-45.69161854860491,0.29,0.15,524242.9168213074,0.0
-0.0,0.0,0,1,20000.0,3000.0,0.0,-3000.0,7.160940430145708,-45.69161854860491,0.29,0.15,524242.9168213074,0.0
-0.0,0.0,0,1,20000.0,3000.0,0.0,-3000.0,7.160940430145708,-45.69161854860491,0.29,0.15,524242.9168213074,0.0
-0.0,0.0,0,1,20000.0,3000.0,0.0,-3000.0,7.160940430145708,-45.69161854860491,0.29,0.15,524242.9168213074,0.0
-0.0,0.0,0,1,20000.0,3000.0,0.0,-3000.0,7.160940430145708,-45.69161854860491,0.29,0.15,524242.9168213074,0.0
-0.0,0.0,0,1,20000.0,3000.0,0.0,-3000.0,7.160940430145708,-45.69161854860491,0.29,0.15,524242.9168213074,0.0
4833.80365410053,0.0,0,1,20000.0,3000.0,0.0,-3000.0,7.160940430145708,-45.69161854860491,0.29,0.15,524242.9168213074,0.0
225.093667328042,0.0,0,1,20000.0,3000.0,0.0,-3000.0,7.160940430145708,-45.69161854860491,0.29,0.15,524242.9168213074,0.0
-0.0,0.0,0,1,20000.0,3000.0,0.0,-3000.0,7.160940430145708,-45.69161854860491,0.29,0.15,524242.9168213074,0.0
